Var1	SBS7c	SBS38	SBS19	SBS4	SBS15	SBS36	SBS1	SBS5	SBS7b	SBS16	SBS7d	SBS12	SBS21	SBS23	SBS37	SBS41	SBS52	SBS53	SBS43	SBS20	SBS31	SBS33	SBS39	SBS17a	SBS44	SBS56	SBS28	SBS51	SBS45	SBS11	SBS35	SBS8	SBS10a	SBS10b	SBS14	SBS58	SBS7a	SBS26	SBS2	SBS9	SBS3	SBS13	SBS29	SBS34	SBS17b	SBS30	SBS18	SBS24	SBS6	SBS54	SBS22	SBS40
SBS7c	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
SBS38	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1
SBS19	0	0	2	1	0	0	2	2	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	2
SBS4	0	0	1	3	0	0	3	3	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	0	1	1	0	0	1	0	1	1	2	1	1	2	1	0	2	1	2	1	1	1	1	2
SBS15	0	0	0	0	3	0	3	3	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	2	3	0	3	1	1	0	0	0	2	2	1	1	0	2	2	1	2	2	0	0	2	0	2	0	1	0	0	3
SBS36	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	2	2	2	2	0	1	1	1	0	0	2	0	0	1
SBS1	1	1	2	3	3	2	23	23	2	2	2	1	1	1	5	6	1	1	1	2	1	2	3	11	3	2	6	2	2	2	2	8	2	2	2	4	2	6	17	6	11	17	4	1	11	5	10	1	5	1	3	21
SBS5	1	1	2	3	3	2	23	23	2	2	2	1	1	1	5	6	1	1	1	2	1	2	3	11	3	2	6	2	2	2	2	8	2	2	2	4	2	6	17	6	11	17	4	1	11	5	10	1	5	1	3	21
SBS7b	1	1	0	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	0	0	2
SBS16	0	0	1	2	0	0	2	2	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	2	1	2	1	1	1	1	2
SBS7d	1	1	0	1	0	0	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	0	0	2
SBS12	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1
SBS21	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1
